Cloudlet ID,STATUS,Data center ID,VM ID,Time,Start Time,Finish Time
06,SUCCESS,05,05,945.16,00.1,945.26
07,SUCCESS,06,06,1734.99,00.1,1735.09
08,SUCCESS,05,05,861.82,945.26,1807.08
00,SUCCESS,02,02,2281.88,00.1,2281.98
03,SUCCESS,04,04,2348.97,00.1,2349.07
10,SUCCESS,06,06,767.57,1735.09,2502.66
02,SUCCESS,02,02,430.3,2281.98,2712.28
15,SUCCESS,05,05,1843.6,1807.08,3650.68
01,SUCCESS,03,03,3838.51,00.1,3838.61
18,SUCCESS,06,06,1506.34,2502.66,4009
04,SUCCESS,02,02,1661.45,2712.28,4373.73
09,SUCCESS,04,04,2379.78,2349.07,4728.85
26,SUCCESS,06,06,942.73,4009,4951.74
05,SUCCESS,02,02,677.1,4373.73,5050.84
21,SUCCESS,05,05,1648.97,3650.68,5299.66
12,SUCCESS,04,04,1142.45,4728.85,5871.3
13,SUCCESS,03,03,2153.89,3838.61,5992.5
11,SUCCESS,02,02,1001.11,5050.84,6051.95
14,SUCCESS,04,04,954.98,5871.3,6826.29
24,SUCCESS,05,05,2456.68,5299.66,7756.34
16,SUCCESS,02,02,2103.3,6051.95,8155.25
17,SUCCESS,03,03,2553.61,5992.5,8546.11
22,SUCCESS,02,02,447.16,8155.25,8602.41
23,SUCCESS,02,02,759.84,8602.41,9362.25
25,SUCCESS,05,05,2355.43,7756.34,10111.77
20,SUCCESS,04,04,3610.48,6826.29,10436.77
19,SUCCESS,03,03,1908.86,8546.11,10454.98
27,SUCCESS,05,05,1118.02,10111.77,11229.79
29,SUCCESS,02,02,1897.12,9362.25,11259.38
28,SUCCESS,03,03,942.65,10454.98,11397.63
Max Finish Time: 11397.628
