Cloudlet ID,STATUS,Data center ID,VM ID,Time,Start Time,Finish Time
05,SUCCESS,03,03,677.1,00.1,677.2
02,SUCCESS,04,04,1805.92,00.1,1806.02
00,SUCCESS,05,05,2322.24,00.1,2322.34
03,SUCCESS,06,06,2348.97,00.1,2349.07
23,SUCCESS,04,04,1482.52,1806.02,3288.54
04,SUCCESS,02,02,3299.02,00.1,3299.12
12,SUCCESS,06,06,1142.45,2349.07,3491.52
10,SUCCESS,03,03,3194.7,677.2,3871.91
13,SUCCESS,06,06,1849.58,3491.52,5341.1
09,SUCCESS,02,02,2812.61,3299.12,6111.72
25,SUCCESS,04,04,3137.88,3288.54,6426.42
20,SUCCESS,03,03,2830.31,3871.91,6702.22
01,SUCCESS,05,05,4429.01,2322.34,6751.35
06,SUCCESS,05,05,945.16,6751.35,7696.51
14,SUCCESS,02,02,1820.12,6111.72,7931.85
15,SUCCESS,06,06,3041.68,5341.1,8382.79
21,SUCCESS,03,03,1992.89,6702.22,8695.1
07,SUCCESS,05,05,2006.82,7696.51,9703.33
28,SUCCESS,03,03,1728.62,8695.1,10423.73
08,SUCCESS,05,05,861.82,9703.33,10565.15
16,SUCCESS,02,02,3137.92,7931.85,11069.77
19,SUCCESS,06,06,3155.72,8382.79,11538.5
11,SUCCESS,05,05,1990.31,10565.15,12555.46
22,SUCCESS,06,06,1512.21,11538.5,13050.71
17,SUCCESS,02,02,2553.61,11069.77,13623.38
24,SUCCESS,05,05,2456.68,12555.46,15012.14
26,SUCCESS,06,06,2938.9,13050.71,15989.61
18,SUCCESS,02,02,3136.06,13623.38,16759.44
27,SUCCESS,06,06,3598.77,15989.61,19588.38
29,SUCCESS,06,06,2348.01,19588.38,21936.39
Makespan using RR: 4998.380383489157
